"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Freedom
4.95,5.0,5.0,4.0,5.0,7.5,6.0,8.0,2.0,8.5,2.5,2.0,4.5,5.0,5.0,7.0,3.0,4.9,4.0,4.5,6.0,5.0,5.0,4.83,5.0,4.0,5.0,6.0,3.0,4.5,4.5,4.5,5.5,5.0,6.0,5.0,66
7.07,6.73,6.5,6.0,8.0,7.0,7.0,7.5,6.5,8.5,5.5,5.5,6.5,6.5,6.0,6.0,8.0,7.4,8.0,7.5,7.0,8.0,6.5,4.88,4.5,5.5,6.0,5.0,4.0,4.0,3.5,5.5,5.0,5.5,4.5,5.5,70
4.62,4.73,6.5,6.5,4.5,4.0,4.0,3.5,5.0,5.0,5.5,6.0,5.0,5.5,4.0,4.0,2.0,4.5,1.0,4.0,7.0,5.5,5.0,4.88,4.5,3.5,4.5,5.0,5.0,5.0,6.5,5.5,4.5,4.5,6.0,4.0,66
6.77,6.93,6.0,5.5,8.5,8.5,8.5,8.5,2.5,9.0,8.5,4.5,8.0,7.0,7.0,5.0,7.0,6.6,8.0,7.0,8.5,3.5,6.0,4.92,3.0,4.5,7.5,4.5,3.0,4.5,5.5,6.0,5.5,5.0,4.0,6.0,72
1.7,1.7,1.5,1.0,1.5,2.5,2.0,1.0,2.0,2.0,2.5,1.5,1.0,3.0,1.5,1.5,1.0,1.7,1.0,1.5,3.0,2.0,1.0,4.92,6.0,5.0,7.0,7.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,84
6.22,5.73,6.0,6.5,6.5,5.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,7.0,4.5,5.0,5.5,6.7,6.0,7.0,8.0,6.5,6.0,4.96,4.5,4.0,6.5,5.0,5.0,5.0,6.0,5.5,5.0,4.0,5.5,3.5,60
2.05,2.2,1.5,1.5,1.0,1.0,3.5,3.5,1.5,1.5,1.5,1.5,2.5,3.0,4.5,4.0,1.0,1.9,1.0,1.5,3.5,2.5,1.0,5.0,5.0,5.0,6.0,7.5,6.5,5.5,7.5,7.0,3.5,2.0,1.0,3.5,77
4.4,3.7,4.5,2.0,3.0,8.0,7.5,3.5,1.0,2.5,3.5,1.5,1.5,7.0,4.0,4.0,2.0,5.1,1.0,4.5,7.0,6.5,6.5,5.08,4.5,4.5,5.0,4.5,5.5,6.0,5.0,5.0,4.5,4.5,7.0,5.0,76
6.37,7.03,8.5,6.5,7.0,5.5,7.5,7.5,7.0,6.5,6.5,8.0,8.0,9.5,7.0,5.5,5.0,5.7,1.0,6.5,6.5,7.0,7.5,5.13,5.0,4.5,5.0,5.5,5.5,6.0,5.5,3.5,5.5,6.0,6.5,3.0,18
5.17,4.83,5.0,6.0,4.5,4.5,3.5,5.0,6.0,6.5,6.5,3.5,6.0,6.0,3.0,3.0,3.5,5.5,6.5,7.0,6.5,3.0,4.5,5.13,5.0,4.5,7.0,6.0,6.0,5.0,5.5,4.0,4.0,4.5,5.0,5.0,67
5.0,4.3,5.0,3.5,3.0,1.0,5.0,4.5,3.0,5.5,4.5,5.0,5.5,8.0,4.0,4.0,3.0,5.7,3.0,7.0,7.5,5.0,6.0,5.13,4.5,4.0,7.5,6.0,4.5,4.5,4.5,4.5,6.5,7.0,4.0,4.0,89
2.93,2.67,2.0,2.5,3.0,2.0,2.5,3.5,1.0,6.0,7.0,1.5,3.0,3.0,1.0,1.0,1.0,3.2,2.0,3.0,3.5,4.0,3.5,5.13,5.5,5.0,6.0,5.5,4.5,6.5,6.0,5.0,6.0,3.0,4.0,4.5,89
2.43,2.67,3.5,1.5,1.5,3.5,6.0,1.5,1.0,2.5,3.5,2.0,2.5,3.5,4.0,2.5,1.0,2.2,1.0,1.5,3.0,4.0,1.5,5.13,5.0,5.5,5.5,6.5,7.0,6.5,4.0,3.0,4.0,5.0,3.5,6.0,82
5.35,4.7,5.5,8.0,3.5,2.0,2.5,3.0,6.0,5.0,5.5,3.5,3.5,6.5,5.0,5.5,5.5,6.0,3.5,6.5,7.5,6.0,6.5,5.17,5.0,5.0,7.0,6.0,4.5,5.0,5.5,5.5,5.5,4.0,5.0,4.0,86
2.63,2.67,3.0,2.5,5.0,1.0,1.5,1.0,1.0,6.0,6.0,2.5,3.0,4.0,1.0,1.5,1.0,2.6,1.0,5.0,2.0,2.5,2.5,5.17,3.5,4.0,6.5,5.0,4.5,6.0,6.0,5.5,5.0,5.0,6.0,5.0,93
4.4,4.9,7.0,5.0,5.0,5.0,5.5,5.0,5.5,3.0,4.5,6.5,4.5,6.5,4.5,3.5,2.5,3.9,1.0,5.0,4.0,4.0,5.5,5.21,4.5,4.5,6.5,6.5,5.0,7.0,5.5,5.0,4.5,4.5,4.5,4.5,24
4.12,3.83,5.0,3.0,3.0,5.5,4.5,5.0,2.0,2.0,3.5,5.5,6.0,5.0,3.5,2.0,2.0,4.4,2.0,4.5,5.0,5.5,5.0,5.21,5.0,5.0,6.5,6.5,4.5,5.0,5.5,4.5,3.5,4.5,6.5,5.5,84
3.9,3.5,4.0,3.5,3.5,4.0,4.5,1.0,8.0,4.5,3.5,3.0,2.5,4.5,3.0,2.0,1.0,4.3,2.0,5.0,5.5,5.0,4.0,5.21,5.0,5.5,6.5,5.5,6.0,5.0,5.0,4.5,4.5,4.5,5.0,5.5,79
3.48,2.37,2.0,1.5,2.5,1.0,1.5,1.5,2.0,4.0,2.5,1.5,2.0,7.5,3.0,1.0,2.0,4.6,2.0,4.0,5.0,6.5,5.5,5.21,4.0,4.0,6.0,5.5,6.5,5.0,6.0,4.5,5.5,5.5,4.5,5.5,97
3.6,3.6,3.5,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.5,4.0,5.0,5.0,5.0,2.5,3.5,3.6,3.0,3.0,3.5,3.0,5.5,5.25,4.0,5.0,6.0,6.5,3.0,6.5,5.0,5.0,4.5,6.5,5.5,5.5,58
5.03,4.87,5.0,6.5,4.5,4.0,3.5,3.0,6.0,5.0,6.0,5.5,5.5,6.0,4.0,3.5,5.0,5.2,3.0,6.0,6.5,5.5,5.0,5.29,5.0,5.5,6.0,5.0,4.5,6.0,6.0,5.5,4.0,4.5,5.5,6.0,68
4.72,4.73,5.0,4.5,5.0,4.0,3.5,3.0,5.0,5.5,5.0,5.5,6.0,6.5,4.0,5.5,3.0,4.7,3.0,6.0,6.5,5.0,3.0,5.29,5.0,4.5,7.0,6.5,5.0,5.0,6.0,5.0,5.0,4.5,5.0,5.0,90
3.7,3.5,3.5,1.0,5.5,1.0,3.5,1.0,1.5,5.0,5.0,7.5,2.0,4.5,4.5,4.0,3.0,3.9,1.0,4.5,5.5,7.0,1.5,5.29,5.0,5.5,6.5,6.5,3.5,6.0,5.0,5.0,5.0,5.0,4.0,6.5,81
7.02,6.93,8.0,7.5,7.5,6.0,7.0,7.0,7.5,6.0,6.5,5.5,8.0,7.5,7.0,6.0,7.0,7.1,7.0,8.0,8.0,6.5,6.0,5.33,5.0,5.0,7.5,7.0,5.0,4.5,6.0,6.0,5.5,3.0,3.0,6.5,52
5.65,5.4,5.0,5.5,4.5,6.0,4.5,5.0,6.0,4.5,5.5,6.5,6.0,7.0,5.0,5.0,5.0,5.9,5.0,7.0,7.5,5.0,5.0,5.33,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.5,5.0,5.0,5.0,4.5,79
5.2,4.8,6.5,4.5,7.0,1.0,2.5,2.0,2.5,8.0,7.0,4.0,6.0,6.5,4.5,5.0,5.0,5.6,6.0,6.5,5.0,6.5,4.0,5.33,5.0,5.0,6.5,7.0,3.5,5.5,4.5,6.5,4.0,5.5,5.0,6.0,82
2.7,2.9,3.5,2.5,1.5,1.0,7.0,1.5,2.0,3.0,2.5,4.0,2.5,2.5,4.5,4.0,1.5,2.5,1.0,4.0,2.0,4.0,1.5,5.33,7.0,6.0,7.5,5.5,5.0,5.5,4.5,5.0,4.5,2.5,5.5,5.5,92
3.37,3.63,5.5,5.5,1.5,3.5,3.0,4.0,2.5,4.0,5.0,3.0,3.0,3.5,5.5,3.0,2.0,3.1,3.0,2.5,3.5,2.0,4.5,5.38,6.5,2.5,6.5,6.0,3.0,7.0,8.0,5.5,5.5,4.0,7.0,3.0,12
5.8,4.9,5.0,3.0,9.0,1.5,2.0,1.0,3.0,6.5,8.5,3.0,4.5,7.0,6.5,7.0,6.0,6.7,8.0,8.0,8.0,7.0,2.5,5.42,4.5,5.0,7.0,5.5,3.5,6.0,6.5,4.5,4.5,5.0,6.5,6.5,80
5.75,6.7,8.0,6.5,6.0,6.0,7.0,7.0,7.0,3.5,7.5,7.0,7.5,7.0,7.5,6.0,7.0,4.8,3.5,6.5,6.0,3.0,5.0,5.42,4.0,5.0,8.5,5.0,4.5,5.0,8.0,6.5,5.0,4.0,5.0,4.5,66
5.45,5.7,8.0,6.5,6.5,4.0,6.5,5.0,4.5,4.5,6.5,7.0,7.0,7.5,6.0,4.0,2.0,5.2,1.0,6.0,6.5,6.0,6.5,5.42,5.0,5.5,6.0,5.0,5.0,5.0,7.0,5.5,6.0,5.5,6.0,3.5,25
4.95,5.4,8.0,5.5,5.0,3.5,6.0,6.5,5.0,4.0,5.5,7.0,7.0,7.0,5.5,4.0,1.5,4.5,1.5,6.0,4.0,5.0,6.0,5.42,6.0,4.5,7.0,5.5,4.5,4.5,6.5,5.5,6.0,5.5,5.5,4.0,12
4.15,4.3,5.0,4.0,2.0,3.5,4.5,2.5,2.5,5.0,6.0,7.0,4.0,5.5,5.0,4.5,3.5,4.0,1.0,5.0,3.0,5.5,5.5,5.42,5.5,5.0,5.5,6.0,4.0,5.0,5.0,6.0,6.0,6.0,5.5,5.5,59
5.8,6.0,7.0,5.5,6.0,7.0,6.5,7.5,6.0,6.5,6.0,7.0,6.0,6.0,5.0,4.5,3.5,5.6,3.0,6.5,7.5,6.5,4.5,5.46,6.0,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.5,3.5,4.0,7.0,80
4.35,4.4,4.5,3.5,4.0,2.5,7.5,3.5,3.5,3.5,4.5,4.0,5.0,5.5,5.0,5.5,4.0,4.3,1.0,5.5,4.0,5.5,5.5,5.46,5.0,4.0,8.5,7.0,6.0,5.0,5.0,5.0,6.0,4.5,4.5,5.0,72
3.75,3.6,5.0,5.5,5.5,1.5,4.5,2.0,4.0,7.5,4.5,3.0,2.5,3.5,2.0,1.5,1.5,3.9,4.0,3.0,3.0,6.0,3.5,5.5,6.0,5.5,6.5,6.5,3.5,6.5,5.0,5.0,4.0,7.0,5.5,5.0,91
5.2,5.7,8.0,6.5,6.0,5.5,6.0,6.0,5.0,4.5,6.5,7.0,6.5,7.0,6.0,3.0,2.0,4.7,1.0,6.0,6.0,4.0,6.5,5.54,5.0,4.5,6.0,5.5,5.5,6.0,5.5,5.5,6.5,5.5,5.5,5.5,37
4.37,4.13,4.5,3.5,2.5,3.5,3.0,4.0,8.0,3.5,5.5,8.0,4.0,4.5,4.0,2.0,1.5,4.6,2.0,6.5,6.0,4.5,4.0,5.54,6.0,6.0,6.5,6.0,5.5,5.5,5.5,4.0,7.0,4.0,5.0,5.5,85
3.6,4.0,5.0,2.5,5.0,2.5,4.0,8.5,3.0,2.5,4.0,1.5,4.5,6.0,6.0,4.0,1.0,3.2,1.0,3.0,5.0,4.0,3.0,5.54,5.5,4.5,5.0,6.0,5.0,7.0,6.5,6.0,6.5,5.5,5.5,3.5,23
4.93,4.87,6.0,5.5,6.5,3.5,3.5,2.0,3.5,3.0,6.0,7.0,5.5,6.5,5.5,5.0,4.0,5.0,1.5,7.0,6.0,4.5,6.0,5.58,5.5,4.5,8.0,6.0,4.5,6.5,6.0,6.5,4.0,4.5,6.5,4.5,33
7.75,7.3,8.0,7.5,8.0,7.0,7.0,9.0,5.0,9.5,7.0,6.0,7.0,8.0,7.5,4.5,8.5,8.2,9.5,9.5,7.5,7.5,7.0,5.63,6.0,5.5,9.0,6.5,5.5,5.0,4.5,6.0,5.0,3.5,4.5,6.5,70
7.18,6.87,4.5,5.0,8.0,5.0,8.0,8.0,7.5,7.0,5.0,8.5,7.0,7.5,7.0,7.0,8.0,7.5,7.5,8.0,8.0,7.5,6.5,5.63,5.5,5.5,6.0,7.0,6.0,4.5,6.0,5.5,6.0,4.0,4.5,7.0,79
5.53,5.37,5.0,6.0,5.0,5.0,6.0,7.0,1.0,7.5,4.5,3.5,7.0,5.5,5.5,6.0,6.0,5.7,7.0,6.0,2.5,7.0,6.0,5.63,7.0,6.5,6.5,6.5,6.0,5.0,5.0,4.0,4.5,5.0,5.0,6.5,91
2.58,1.67,2.0,1.0,1.5,1.0,1.0,1.5,2.0,2.0,2.5,2.0,3.0,2.5,1.0,1.0,1.0,3.5,1.0,3.0,3.5,5.5,4.5,5.63,3.5,4.5,5.5,6.5,8.0,7.0,6.0,5.5,4.0,8.0,5.0,4.0,84
6.37,6.53,7.0,6.5,3.0,8.5,9.0,5.0,6.5,3.5,4.5,8.0,8.5,7.5,9.5,6.0,5.0,6.2,6.5,7.5,7.0,3.0,7.0,5.67,6.0,4.0,6.0,7.5,5.0,6.0,7.5,6.5,7.5,4.0,6.0,2.0,9
2.82,2.93,3.0,1.5,2.0,3.5,4.0,2.5,4.5,1.5,3.5,4.0,2.5,3.0,3.5,3.5,1.5,2.7,2.5,3.0,3.0,3.0,2.0,5.71,7.0,6.0,7.0,6.5,4.5,6.5,3.0,6.0,6.0,5.0,4.5,6.5,54
7.28,7.37,7.5,6.0,8.5,6.0,7.0,8.0,6.0,7.0,8.0,8.5,8.0,7.0,8.0,7.0,8.0,7.2,5.5,8.5,7.5,7.5,7.0,5.79,5.5,5.0,7.5,7.5,5.0,5.0,5.0,5.0,6.5,5.0,5.5,7.0,43
5.52,5.53,5.5,5.0,5.0,7.5,7.0,4.5,3.0,7.0,7.0,3.0,5.0,5.5,7.5,6.0,4.5,5.5,3.0,6.0,5.0,6.5,7.0,5.79,5.5,5.0,7.0,6.5,5.0,6.0,7.0,5.0,5.5,5.0,5.0,7.0,68
2.52,2.73,5.0,2.0,2.0,1.0,7.5,1.0,1.5,2.0,2.5,2.5,3.0,3.5,3.0,3.5,1.0,2.3,1.0,2.5,3.0,3.0,2.0,5.79,7.0,6.5,6.0,6.5,7.0,5.5,6.0,4.5,6.5,3.5,4.0,6.5,93
2.43,2.97,3.5,2.0,3.0,1.5,3.0,2.0,1.0,3.5,5.5,4.0,2.5,3.5,4.5,4.0,1.0,1.9,1.0,2.5,2.5,2.5,1.0,5.83,4.5,5.5,6.0,6.5,6.0,6.5,7.5,5.5,3.0,5.5,6.5,7.0,83
4.48,4.97,5.5,6.0,4.5,2.5,5.0,5.5,4.0,5.0,5.5,7.0,5.5,6.0,4.5,5.5,2.5,4.0,2.0,6.0,4.5,3.5,4.0,5.88,5.5,4.0,7.5,7.0,5.0,6.5,7.5,6.5,6.5,5.0,5.5,4.0,81
6.23,6.67,7.5,7.5,5.5,6.5,8.0,5.5,7.0,4.0,5.0,7.5,8.0,8.0,7.5,7.0,5.5,5.8,4.5,5.5,6.0,7.0,6.0,5.92,4.5,5.5,7.0,7.5,5.5,5.5,5.5,6.0,7.0,6.0,6.5,4.5,53
5.15,4.9,5.0,6.5,4.5,4.5,3.5,4.5,5.0,6.5,6.0,5.5,4.5,5.5,4.0,4.0,4.0,5.4,4.0,6.5,6.0,5.0,5.5,5.92,5.5,6.0,7.0,7.0,5.5,6.0,6.5,6.5,5.0,6.0,5.5,4.5,84
5.0,4.5,5.0,3.5,3.5,2.0,4.0,2.5,2.0,7.0,7.5,3.0,5.5,3.5,7.0,6.5,5.0,5.5,5.0,6.0,6.0,5.5,5.0,5.96,6.5,4.5,6.0,6.0,5.5,5.5,6.0,7.0,6.0,6.0,5.0,7.5,85
4.58,5.27,6.0,5.5,5.0,6.0,4.5,4.0,5.5,5.5,5.0,5.0,6.0,6.0,5.0,6.0,4.0,3.9,3.0,5.5,3.5,4.0,3.5,6.0,6.0,6.5,7.0,6.0,6.5,6.0,6.5,5.0,5.5,6.0,6.0,5.0,83
4.37,4.03,4.0,5.5,4.0,3.0,3.0,2.5,4.0,5.5,5.0,5.0,5.0,6.0,3.0,2.0,3.0,4.7,3.0,5.0,6.5,5.0,4.0,6.04,6.0,5.0,7.0,7.0,6.0,6.0,7.5,5.0,5.0,6.0,6.0,6.0,95
4.85,5.0,6.0,2.5,6.5,1.5,2.0,5.5,3.0,5.5,6.5,5.5,9.0,6.5,5.0,5.0,5.0,4.7,5.5,4.0,5.0,4.0,5.0,6.08,6.0,5.0,6.5,6.5,5.0,6.5,3.5,7.0,7.5,6.5,6.5,6.5,77
1.62,1.93,1.5,1.0,1.0,1.0,5.0,1.0,1.0,1.5,2.5,1.5,1.5,2.5,4.0,3.0,1.0,1.3,1.0,1.0,1.5,1.5,1.5,6.08,5.5,6.0,5.0,6.5,8.0,7.0,6.5,6.5,6.0,4.5,4.5,7.0,93
3.07,2.43,4.0,2.0,5.0,1.0,1.5,2.0,1.0,6.0,5.0,1.0,1.5,2.0,1.5,1.0,2.0,3.7,5.0,4.5,4.0,2.5,2.5,6.13,6.0,7.5,7.5,7.0,5.0,7.0,6.5,5.0,4.5,5.5,6.0,6.0,94
5.18,5.07,6.0,5.0,6.5,4.5,5.0,3.0,2.0,7.5,7.0,5.5,5.0,4.0,6.5,4.0,4.5,5.3,4.0,6.0,5.5,6.0,5.0,6.17,7.0,7.0,8.0,6.0,5.5,4.5,4.0,6.5,6.0,6.0,6.5,7.0,94
4.68,4.87,5.5,5.5,5.0,3.0,5.5,3.5,4.5,5.0,6.0,6.5,5.5,6.0,4.0,4.0,3.5,4.5,3.5,4.5,5.0,4.5,5.0,6.42,6.5,6.5,7.0,7.0,6.5,7.0,7.0,6.5,6.0,5.0,6.0,6.0,92
6.22,5.73,7.0,7.5,6.0,3.0,3.5,5.5,5.0,8.0,5.5,5.0,6.0,7.0,5.5,4.0,7.5,6.7,9.0,3.5,6.5,7.5,7.0,6.46,6.5,5.0,9.0,8.0,5.5,7.5,6.0,6.0,5.0,5.5,6.0,7.5,90
4.88,4.67,5.5,5.0,4.0,4.0,4.0,3.5,5.0,6.0,5.5,5.0,5.5,5.0,4.5,4.0,3.5,5.1,5.0,6.0,4.5,5.5,4.5,6.5,7.0,5.0,7.5,7.0,6.0,7.0,6.0,6.5,5.5,7.0,6.0,7.5,96
4.28,3.97,4.5,2.0,3.0,2.0,4.0,1.0,4.0,7.5,5.5,4.0,4.5,4.0,4.0,4.5,5.0,4.6,3.0,4.5,4.0,7.0,4.5,6.58,7.0,7.0,8.5,7.0,7.5,6.0,7.5,5.0,6.0,4.0,6.5,7.0,92
5.9,5.7,7.0,7.0,4.0,3.5,5.0,2.5,6.5,7.5,7.5,5.5,6.0,7.0,6.0,6.5,4.0,6.1,6.0,7.0,5.0,7.5,5.0,6.75,6.5,6.0,8.5,8.0,7.0,8.0,5.5,6.5,6.0,6.5,5.5,7.0,90
5.82,5.93,6.0,6.5,6.0,4.0,5.5,5.0,6.0,7.0,7.0,6.0,6.5,6.5,7.0,5.5,4.5,5.7,6.0,6.5,3.5,7.0,5.5,6.96,6.5,7.0,8.5,7.5,6.5,7.0,5.5,8.0,8.0,5.0,7.0,7.0,89
4.87,4.63,5.0,3.5,5.5,1.5,3.0,7.0,2.5,6.0,4.5,4.0,7.0,7.5,6.0,4.0,2.5,5.1,4.5,4.0,2.0,7.5,7.5,7.04,8.5,6.0,8.0,7.0,7.0,7.5,8.5,5.0,6.0,7.0,6.0,8.0,96
4.43,5.17,5.0,6.0,6.0,3.0,3.5,4.0,4.0,8.0,6.5,7.5,6.0,6.5,5.0,4.0,2.5,3.7,3.0,5.0,2.0,5.0,3.5,7.04,7.0,7.0,8.0,7.5,6.0,7.0,6.0,7.0,7.0,7.5,7.0,7.5,96
5.67,5.83,6.0,5.5,7.5,2.5,5.5,4.5,6.5,7.0,4.5,8.5,8.0,7.5,6.0,5.0,3.0,5.5,5.5,6.0,4.5,5.5,6.0,7.13,6.0,6.0,9.0,6.5,6.0,8.0,6.5,6.5,8.0,7.5,7.0,8.5,83
3.88,3.87,4.0,4.0,3.5,2.0,3.0,3.0,5.0,3.5,3.0,5.5,6.5,5.0,4.0,3.5,2.5,3.9,5.0,4.0,2.0,4.5,4.0,7.21,7.5,7.0,8.0,8.0,7.0,7.0,6.0,6.0,7.5,8.5,6.0,8.0,98
3.9,3.8,4.0,3.0,3.0,1.5,3.0,2.5,4.5,5.0,4.5,4.5,5.5,6.0,3.0,5.0,2.0,4.0,4.0,4.5,4.0,4.0,3.5,7.29,7.0,7.0,8.5,7.0,8.0,7.5,8.0,6.5,7.5,7.0,6.5,7.0,89
5.08,5.17,5.0,4.5,4.0,2.0,4.0,5.5,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.5,5.0,6.5,6.0,4.0,6.5,2.0,7.33,7.0,8.0,8.0,8.0,7.0,7.0,7.5,8.0,8.0,7.0,5.5,7.0,97
4.28,3.87,5.0,5.0,2.5,4.0,6.0,3.0,1.5,3.0,4.5,5.0,3.5,6.0,2.0,2.0,5.0,4.7,6.0,5.5,3.0,4.5,4.5,7.38,6.0,7.5,9.0,7.5,8.0,7.5,8.5,7.5,8.0,5.5,5.5,8.0,96
4.0,4.3,3.5,2.5,3.5,3.0,4.0,2.0,3.5,6.5,3.0,7.0,7.5,7.0,2.0,5.0,4.5,3.7,4.5,5.0,2.5,4.0,2.5,7.38,7.5,8.0,9.0,8.0,8.0,8.0,7.5,7.0,7.0,6.0,6.0,6.5,95
4.97,5.23,5.5,5.0,6.0,4.0,4.5,4.5,4.0,7.5,5.5,8.0,7.5,5.0,5.0,4.0,2.5,4.7,4.5,6.0,3.0,6.0,4.0,7.46,7.5,8.0,8.5,7.5,7.5,7.5,6.0,6.5,6.5,8.0,8.0,8.0,97
4.7,4.6,5.0,6.0,6.0,2.5,3.5,2.0,3.0,5.5,5.5,6.0,6.0,6.0,4.0,3.5,4.5,4.8,5.0,6.0,2.5,6.5,4.0,7.46,6.5,8.5,8.5,7.5,7.0,6.5,8.0,8.0,7.0,6.0,7.5,8.5,100
5.33,5.47,6.0,7.0,6.0,2.5,4.0,3.0,4.5,7.0,6.0,6.5,6.5,7.5,5.5,4.5,5.5,5.2,5.0,6.5,2.0,7.0,5.5,7.5,6.5,7.0,8.0,8.0,8.0,7.5,8.5,6.0,7.0,8.0,8.0,7.5,94
4.13,4.17,4.5,6.0,5.5,2.0,2.5,2.0,4.0,4.0,4.5,5.0,5.0,5.5,4.0,3.5,4.5,4.1,1.0,4.0,4.0,6.5,5.0,7.5,7.5,6.5,7.5,8.0,8.5,8.5,7.5,6.5,7.0,8.0,7.5,7.0,93
3.22,3.33,3.0,4.0,3.0,1.0,3.5,1.0,2.0,6.0,4.0,3.5,4.0,4.0,3.5,3.5,4.0,3.1,2.5,4.5,3.0,2.5,3.0,7.5,7.5,9.0,9.0,7.0,6.0,7.0,7.0,6.5,8.0,7.5,7.0,8.5,96
2.85,2.9,3.5,2.0,2.0,1.5,1.5,1.5,3.0,3.5,2.5,3.5,4.5,6.5,3.5,2.5,2.0,2.8,1.0,2.0,2.0,5.0,4.0,7.5,8.0,6.5,9.0,8.0,7.5,7.0,8.0,5.5,7.0,7.5,8.0,8.0,97
5.75,5.5,7.0,6.0,4.5,3.0,4.0,2.5,4.5,7.0,5.5,6.0,6.5,7.5,6.5,6.0,6.0,6.0,4.5,7.0,3.5,7.5,7.5,7.54,7.5,6.5,7.5,8.0,8.0,7.5,8.5,6.5,7.5,7.0,7.5,8.5,93
3.9,4.5,5.0,4.5,3.5,1.5,2.0,2.0,4.5,5.5,5.5,5.5,6.0,6.5,6.0,6.0,3.5,3.3,4.0,3.5,2.0,4.5,2.5,7.58,7.0,6.5,8.5,8.5,8.0,8.0,8.5,6.0,8.0,7.5,7.5,7.0,88
3.47,3.93,5.5,2.5,2.5,2.5,4.5,2.5,4.5,3.0,3.5,5.5,6.5,6.0,5.0,3.0,2.0,3.0,3.0,4.0,1.5,4.0,2.5,7.83,7.5,7.5,9.0,8.5,9.0,9.0,8.0,7.5,8.0,7.0,9.0,4.0,47
4.25,4.2,4.5,3.5,2.0,2.0,2.0,3.5,3.0,4.0,6.0,7.0,7.0,7.0,4.0,5.0,2.5,4.3,3.5,4.5,2.0,5.5,6.0,7.88,8.0,7.5,8.5,8.0,8.0,7.5,8.0,8.0,7.5,7.5,8.0,8.0,94
4.08,3.77,3.5,3.5,3.0,2.0,4.0,1.5,2.5,4.5,5.0,6.0,6.0,7.0,2.0,2.0,4.0,4.4,4.0,5.5,2.0,4.5,6.0,7.88,8.0,8.0,8.5,8.0,7.5,7.5,8.5,6.5,8.0,8.0,7.5,8.5,99
3.75,4.1,5.0,3.5,4.0,2.0,4.0,3.0,5.0,5.0,4.5,4.5,5.5,5.0,2.5,5.0,3.0,3.4,4.5,4.5,1.5,4.5,2.0,7.92,8.0,8.5,9.0,8.5,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,100
3.22,2.73,2.5,3.0,2.5,1.0,1.0,3.0,2.0,3.5,4.5,1.5,2.0,6.5,2.0,5.0,1.0,3.7,1.0,4.0,1.5,6.0,6.0,7.96,7.0,7.5,8.5,8.5,8.0,8.5,7.5,7.0,8.0,8.5,8.5,8.0,93
4.02,4.33,4.0,5.0,5.0,2.0,2.0,2.0,4.5,6.0,6.0,5.0,6.5,4.5,4.0,4.0,4.5,3.7,5.5,4.5,2.0,5.0,1.5,8.13,9.0,9.0,8.0,9.0,7.5,7.5,8.0,6.0,8.5,7.5,8.5,9.0,97
3.37,2.93,4.5,3.5,2.0,1.0,1.5,1.0,1.5,5.0,4.5,4.5,5.0,5.0,3.0,1.0,1.0,3.8,4.5,5.0,1.5,5.0,3.0,8.21,8.0,7.5,8.5,8.5,8.5,9.0,8.5,8.0,8.5,7.5,7.5,8.5,94
2.27,2.33,2.0,1.5,2.0,1.5,1.5,1.5,2.0,3.0,3.5,2.0,4.0,6.5,1.0,1.0,2.0,2.2,1.0,1.5,1.5,3.0,4.0,8.46,9.0,8.0,7.5,9.0,9.0,8.5,9.5,5.0,8.5,9.5,9.5,8.5,90
2.98,3.27,3.5,3.0,3.0,1.5,2.0,2.0,3.5,4.0,4.0,5.0,5.0,4.0,3.0,3.0,2.5,2.7,3.0,3.0,1.5,3.0,3.0,8.63,9.0,9.0,9.0,8.5,8.0,8.5,9.0,8.5,9.0,8.0,8.5,8.5,100
